FT_TIPO,FT_CODIGOPRODUCTO,FT_CODIGODEPOSITO,FT_LOTE,FT_LOTEAUTOINCREMENT,FT_NOLINEA,FT_STATUS,FT_PUESTO,FT_EXISTENCIA,FT_EXISTENCIADETALLADA,FT_EXISTENCIAAPARTADA,FT_EXISTENCIAORDENCOMPRA,FT_EXISTENCIAPEDIDO,FT_INVENTARIOINICIALBS,FT_INVENTARIOINICIALUND,FT_CTDTRANSITO,FT_VISIBLE,FT_CODEBARRA,FT_EXISTENCIAAJUSTE,BASE_AUTOINCREMENT,FT_CODE,FT_INVENTARIOINICIALCIERRE,FT_INVENTARIOINICIALBSCIERRE
4,24410-26000,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,9648,,9648,,"0,0","0,0"
4,24410-26000-GMB,1,,0,,,,"0,0",,,,,"0,0","79,0",,True,10343,,10343,,"0,0","0,0"
4,24410-26000-HSC,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,15720,,15720,,"0,0","0,0"
4,24410-26000-HY,1,,0,,,,"0,0",,,,,"3230,4","16,0",,True,11540,,11540,,"0,0","0,0"
4,24410-26000-MHW,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,14366,,14366,,"0,0","0,0"
4,24410-26000-MI,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,15479,,15479,,"0,0","0,0"
4,24410-26800-KO,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,12779,,12779,,"0,0","0,0"
4,24410-26810,1,,0,,,,"0,0",,,,,"0,0","2,0",,True,9662,,9662,,"0,0","0,0"
4,24410-28002,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,9393,,9393,,"0,0","0,0"
4,24410-28002-GMB,1,,0,,,,"6,0",,,,,"2803,46","11,0",,True,14440,,14440,,"7,0","1784,02"
4,24410-28002-HY,1,,0,,,,"0,0",,,,,"0,0","21,0",,True,12660,,12660,,"0,0","0,0"
4,24410-2E000,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10473,,10473,,"0,0","0,0"
4,24410-2E000-INA,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,10496,,10496,,"0,0","0,0"
4,24410-37100,1,,0,,,,"0,0",,,,,"0,0","4,0",,True,9669,,9669,,"0,0","0,0"
4,24410-37100-TO,1,,0,,,,"2,0",,,,,"0,0","2,0",,True,15721,,15721,,"2,0","0,0"
4,24410-3E500,1,,0,,,,"0,0",,,,,"0,0","1,0",,True,9670,,9670,,"0,0","0,0"
4,24410-3E500-GA,1,,0,,,,"2,0",,,,,"0,0","3,0",,True,15722,,15722,,"2,0","0,0"
4,24410-3E500-HY,1,,0,,,,"3,0",,,,,"1272,48","3,0",,True,16013,,16013,,"3,0","1272,48"
4,24410-3E500-NA,1,,0,,,,"0,0",,,,,"0,0","10,0",,True,12610,,12610,,"0,0","0,0"
4,2441023500-HA,1,,0,,,,"0,0",,,,,"0,0","3,0",,True,13558,,13558,,"0,0","0,0"
4,24411-3E000-AN,1,,0,,,,"0,0",,,,,"27142,83","37,0",,True,12079,,12079,,"1,0","733,59"
4,24420-3C100-HY,1,,0,,,,"3,0",,,,,"0,0","3,0",,True,15194,,15194,,"3,0","0,0"
4,24422-24000-HY,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,14371,,14371,,"0,0","0,0"
4,24422964-AG,1,,0,,,,"6,0",,,,,"258,44","7,0",,True,11314,,11314,,"6,0","221,52"
4,24422964K,1,,0,,,,"0,0",,,,,"0,0","0,0",,True,8804,,8804,,"0,0","0,0"
