FI_CODIGO,FI_DESCRIPCION,FI_CATEGORIA,FI_DESCRIPCIONDETALLADA,FI_VENDEDOR,FI_STATUS,FI_UNIDAD,FI_TIPOCODIGOBARRA,FI_IMAGEN,FI_SUSTITUTO1,FI_SUSTITUTO2,FI_SUSTITUTO3,FI_REFERENCIA,FI_MARCA,FI_MONEDA,FI_FACTORCONVERSION,FI_UNDEXISTENCIA2,FI_PUESTO,FI_SUJETOACOMISION,FI_MONTOCOMISION,FI_CUENTASCONTABLES,FI_PESOPRODUCTO,FI_DIASDEREPOSICION,FI_PRESENTACION,FI_GARANTIA,FI_SUSTITUTO4,FI_SUSTITUTO5,FI_MONTOCOMISIONP,FI_DEPOSITOS,FI_OFERTAS,FI_VENCIMIENTOS,FI_CLASIFICACION,FI_MANEJOINVENTARIO,FI_SERIALES,FI_CREACION,FI_INVENTARIOINICIALUNIDADES,FI_INVENTARIOINICIALCOSTO,FI_CAPACIDAD,FI_EXISTDECIMAL,FI_COMPUESTOSERIALES,FI_VENDEDORFIJO,FI_VENDEDORFIJOACTIVO,FI_MODELO,FI_SUBCATEGORIA,FI_PESOAFECTACOSTO,FI_IMPRESORA,BASE_AUTOINCREMENT,FI_ZEXTRA1,FI_ZEXTRA2,FI_ZEXTRA3,FI_ZEXTRA4,FI_ZEXTRA5,FI_ZEXTRA6,FI_ZEXTRA1VENTA,FI_ZEXTRA2VENTA,FI_ZEXTRA3VENTA,FI_ZEXTRA4VENTA,FI_ZEXTRA5VENTA,FI_ZEXTRA6VENTA,FI_ZEXTRA1VENTAMOD,FI_ZEXTRA2VENTAMOD,FI_ZEXTRA3VENTAMOD,FI_ZEXTRA4VENTAMOD,FI_ZEXTRA5VENTAMOD,FI_ZEXTRA6VENTAMOD,FI_INTERNET,FI_BALANZA,FI_CODIGOBARRA,FI_PRECIOLISTA,FI_APROVECHAPORC,FI_ARANCEL,FI_POSENTREGA
01100002-DR,REFRIGERANTE GALON ROJO -DR CARE,476,,,True,UNIVERSAL,,,,,,,DR CARE,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,008,False,DEPOSITO,NACIONAL,,,11110,,,,,,,,,,,,,,,,,,,,,,,,,
01200002,KIT DE LIMPIEZA EXPRESS DR. CARE,77,,,True,,,,,,,,DR. CARE,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,G40-C + EXH,NACIONAL,,,4875,,,,,,,,,,,,,,,,,,,,,,,,,
013107-GM,RELAY 5 PATAS 12V 80AMP TRANSPARENTE GM,518,,,True,,,,,,,,GM HE,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,4-D,NACIONAL,,,8407,,,,,,,,,,,,,,,,,,,,,,,,,
023023RE,ABRAZADERA #16 3/4 - NACIONAL,1,"ACRILICOS BICOLOR, S.A",,True,UNIVERSAL,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,4-C,NACIONAL,,,8482,,,,,,,,,,,,,,,,,,,,,,,,,
02509-SA,GOMAS VALVULA CORSA/CIELO/CONFORT-SAB,COP,,,True,CHEVROLET,,,,,,,SABO,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,002,False,2-C (X8UND),NACIONAL,,,10851,,,,,,,,,,,,,,,,,,,,,,,,,
0305,"EMBLEMA LETRA ""CORSA"" - NACIONAL",306,,,True,,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,1-E + EXC,NACIONAL,,,3323,,,,,,,,,,,,,,,,,,,,,,,,,
0317009,FLEXICON PLASTICO 3/8 #1 POR METRO,305,,,True,MAYOR BEVAL CA,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,003,False,G44-E,NACIONAL,,,5843,,,,,,,,,,,,,,,,,,,,,,,,,
0317018,FLEXICON PLASTICO 3/4 #3 POR METRO,305,,,True,MAYOR BEVAL CA,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,003,False,G43-E + EXC,NACIONAL,,,5855,,,,,,,,,,,,,,,,,,,,,,,,,
0317028,FLEXICON PLASTICO #2 POR METRO,305,,,True,MAYOR BEVAL CA,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,003,False,G43-F,NACIONAL,,,5844,,,,,,,,,,,,,,,,,,,,,,,,,
0324,"EMBLEMA LETRA ""GL"" - NACIONAL",306,,,True,,,,,,,,NACIONAL,2,,,,False,"0,0",,"0,0",,,0,,,False,True,False,False,0,0,False,,"0,0","0,0","1,0",False,False,001,False,1-E + EXC,NACIONAL,,,2650,,,,,,,,,,,,,,,,,,,,,,,,,
