FM_CODE,FM_DESCRIPCION,FM_STATUS,FM_TIPO,FM_SIMBOLO,FM_FACTOR,FM_LASTUPDATE,FM_TIPOUPDATE,FM_MAYORCOTIZACION,FM_MENORCOTIZACION,FM_LASTFACTOR,BASE_AUTOINCREMENT,FM_CODEISO
1,Bolívares,True,0,Bs.,"1,0",,,,,,1,
2,Dólares,True,0,$,"37,04",2024-01-08 00:00:00,,,,"34,9",2,
